Index,Title,Author,Year,URL,DOI,Journal,Type,Status,FilePath,Abstract
467,Generating personas using LLMs and assessing their viability,"Schuller, Andreas and Janssen, Doris and Blumenr\""{o",2024,https://doi.org/10.1145/3613905.3650860,10.1145/3613905.3650860,,inproceedings,Failed,,"User personas, reflecting human characteristics, play a crucial role in human-centered design, contributing significantly to ideation and product design processes. However, expressing a diverse range of product-related human characterizations poses a challenging and time-consuming task for UX exp..."
468,Self-Designing Software,"Porter, Barry and Faulkner Rainford, Penn and Rodrigues-Filho, Roberto",2024,https://doi.org/10.1145/3678165,10.1145/3678165,Commun. ACM,article,Failed,,"Exploring ways to include a software system as an active member of its own design team, able to reason about its own design and to synthesize better variants of its own building blocks as it encounters different deployment conditions."
469,ACMSE '24: Proceedings of the 2024 ACM Southeast Conference,,2024,,,,proceedings,Failed,,"We are pleased to welcome you to the 2024 ACM Southeast Conference (ACMSE 2024) sponsored by ACM and the College of Computing and Software Engineering (CCSE) at Kennesaw State University, Marietta, Georgia, USA. ACMSE 2024 continues the ACM Southeast Conference tradition of participation in all a..."
470,"From ideas to ventures: building entrepreneurship knowledge with LLM, prompt engineering, and conversational agents",Thanasi-Bo\c{c,2024,https://doi.org/10.1007/s10639-024-12775-z,10.1007/s10639-024-12775-z,Education and Information Technologies,article,Failed,,"Entrepreneurship education has evolved to meet the demands of a dynamic business environment, necessitating innovative teaching methods to prepare entrepreneurs for market uncertainties. Large Language Models (LLMs) like the Generative Pre-trained Transformer 4 (GPT-4), recognized for their excep..."
471,Understanding the Weakness of Large Language Model Agents within a Complex Android Environment,"Xing, Mingzhe and Zhang, Rongkai and Xue, Hui and Chen, Qi and Yang, Fan and Xiao, Zhen",2024,https://doi.org/10.1145/3637528.3671650,10.1145/3637528.3671650,,inproceedings,Failed,,"Large language models (LLMs) have empowered intelligent agents to execute intricate tasks within domain-specific software such as browsers and games. However, when applied to general-purpose software systems like operating systems, LLM agents face three primary challenges. Firstly, the action spa..."
472,Self-play fine-tuning convertsweak language models to strong language models,"Chen, Zixiang and Deng, Yihe and Yuan, Huizhuo and Ji, Kaixuan and Gu, Quanquan",2024,,,,inproceedings,Failed,,"Harnessing the power of human-annotated data through Supervised Fine-Tuning (SFT) is pivotal for advancing Large Language Models (LLMs). In this paper, we delve into the prospect of growing a strong LLM out of a weak one without the need for acquiring additional human-annotated data. We propose a..."
473,SIGSIM-PADS '24: Proceedings of the 38th ACM SIGSIM Conference on Principles of Advanced Discrete Simulation,,2024,,,,proceedings,Failed,,
474,A Deep Reinforcement Learning Based Facilitation Agent for Consensus Building Among Multi-Round Discussions,"Ding, Shiyao and Ito, Takayuki",2023,https://doi.org/10.1007/978-981-99-7025-4_23,10.1007/978-981-99-7025-4_23,,inproceedings,Failed,,"Achieving consensus among diverse opinions through multi-round discussions can be a complex process. The advent of large language models (LLMs) offers promising avenues for resolving this challenge, given their prowess in understanding and analyzing human sentiments. However, existing approaches ..."
475,Open-Ethical AI: Advancements in Open-Source Human-Centric Neural Language Models,"Sicari, Sabrina and Cevallos M., Jesus F. and Rizzardi, Alessandra and Coen-Porisini, Alberto",2024,https://doi.org/10.1145/3703454,10.1145/3703454,ACM Comput. Surv.,article,Failed,,"This survey summarises the most recent methods for building and assessing helpful, honest, and harmless neural language models, considering small, medium, and large-size models. Pointers to open-source resources that help to align pre-trained models are given, including methods that use parameter..."
476,"Can ChatGPT Challenge the Scientific Impact of Published Research, Particularly in the Context of Industry 4.0 and Smart Manufacturing?","Terziyan, Vagan and Kaikova, Olena and Golovianko, Mariia and Vitko, Oleksandra",2024,https://doi.org/10.1016/j.procs.2024.02.072,10.1016/j.procs.2024.02.072,Procedia Comput. Sci.,article,Failed,,
477,Adaptive Background Music According to the Player’s Arousal for DareFightingICE,"Tanabe, Jun and Khan, Ibrahim and Nguyen, Thai Van and Nimpattanavong, Chollakorn and Thawonmas, Ruck",2023,https://doi.org/10.1145/3628454.3631666,10.1145/3628454.3631666,,inproceedings,Failed,,"This paper presents a system that adapts the background music of a fighting game according to the player’s arousal. The system uses a model to estimate the player’s arousal based on events in the game and accordingly changes the pitch, tempo, and volume of the music. The system does not use AI mu..."
478,A Design Space for Intelligent Dialogue Augmentation,"Chan, Robin Shing Moon and Marx, Anne and Kim, Alison and El-Assady, Mennatallah",2025,https://doi.org/10.1145/3708359.3712096,10.1145/3708359.3712096,,inproceedings,Failed,,"The use of intelligent agents in communication is a growing trend aimed at enhancing the efficiency and quality of interactions. As such, dialogue augmentation systems—text processing systems that interactively enhance ongoing written or spoken communication—are gaining significant popularity acr..."
479,AI Comes Out of the Closet: Using AI-Generated Virtual Characters to Help Individuals Practice LGBTQIA+ Advocacy,"Pillis, Daniel and Pataranutaporn, Pat and Maes, Pattie and Sra, Misha",2024,https://doi.org/10.1145/3640543.3645213,10.1145/3640543.3645213,,inproceedings,Failed,,"Despite significant historical progress, discrimination and social stigma continue to impact the lives of LGBTQIA+ individuals. The use of AI-generated virtual characters offers a unique opportunity to facilitate advocacy by engaging individuals in simulated conversations that can foster understa..."
480,LLM-Enhanced Theorem Proving with Term Explanation and Tactic Parameter Repair✱,"Liu, Xingpeng and Liu, Hengzhu and Yi, Xiaodong and Wang, Ji",2024,https://doi.org/10.1145/3671016.3674823,10.1145/3671016.3674823,,inproceedings,Failed,,"There has been emerging researches on leveraging large language models (LLMs) to improve the automation of theorem proving. However, they are still suffering from low accuracy and efficiency. In this paper, we propose to strengthen the existing approach by enhancing a language agent, which provid..."
481,CrowdBot: An Open-Environment Robot Management System for On-Campus Services,"Wang, Yufei and Zeng, Wenting and Liu, Changzhen and Ye, Zhuohan and Sun, Jiawei and Ji, Junxiang and Jiang, Zhihan and Yan, Xianyi and Wu, Yongyi and Wang, Yigao and Yang, Dingqi and Wang, Leye and Zhang, Daqing and Wang, Cheng and Chen, Longbiao",2024,https://doi.org/10.1145/3659601,10.1145/3659601,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,article,Failed,,"In contemporary campus environments, the provision of timely and efficient services is increasingly challenging due to limitations in accessibility and the complexity and openness of the environment. Existing service robots, while operational, often struggle with adaptability and dynamic task man..."
482,"Teachers, Parents, and Students' perspectives on Integrating Generative AI into Elementary Literacy Education","Han, Ariel and Zhou, Xiaofei and Cai, Zhenyao and Han, Shenshen and Ko, Richard and Corrigan, Seth and Peppler, Kylie A",2024,https://doi.org/10.1145/3613904.3642438,10.1145/3613904.3642438,,inproceedings,Failed,,"The viral launch of new generative AI (GAI) systems, such as ChatGPT and Text-to-Image (TTL) generators, sparked questions about how they can be effectively incorporated into writing education. However, it is still unclear how teachers, parents, and students perceive and suspect GAI systems in el..."
483,WARM: on the benefits of weight averaged reward models,Ram\'{e,2024,,,,inproceedings,Failed,,"Aligning large language models (LLMs) with human preferences through reinforcement learning (RLHF) can lead to reward hacking, where LLMs exploit failures in the reward model (RM) to achieve seemingly high rewards without meeting the underlying objectives. We identify two primary challenges when ..."
484,Goal-hiding information-seeking dialogues: A formal framework,"Br\""{a",2025,https://doi.org/10.1016/j.ijar.2024.109325,10.1016/j.ijar.2024.109325,Int. J. Approx. Reasoning,article,Failed,,
485,Using LLMs and ontologies to extract causal relationships from medical abstracts,"Lecu, Alexandru and Groza, Adrian and Hawizy, Lezan",2024,https://doi.org/10.1016/j.procs.2024.10.219,10.1016/j.procs.2024.10.219,Procedia Comput. Sci.,article,Failed,,
486,GlotBot: Hybrid Language Translator for Secondary Level Mathematics Classrooms,"Patel, Manooshree and Chalageri, Swapneel",2023,https://doi.org/10.1145/3585088.3595283,10.1145/3585088.3595283,,inproceedings,Failed,,"As the place where so many individuals make lifelong friends, learn how to navigate the world, and grow into themselves, compassion must start in the classroom. However, current American classrooms sometimes lack the very principles of equality and inclusion which underlie compassionate communiti..."
487,From Triumph to Uncertainty: The Journey of Software Engineering in the AI Era,"Mastropaolo, Antonio and Escobar-Vel\'{a",2024,https://doi.org/10.1145/3709360,10.1145/3709360,ACM Trans. Softw. Eng. Methodol.,article,Failed,,"Over the last ten years, the realm of Artificial Intelligence (AI) has experienced an explosion of revolutionary breakthroughs, transforming what seemed like a far-off dream into a reality that is now deeply embedded in our everyday lives. AI’s widespread impact is revolutionizing virtually all a..."
839,Front Matter,,2024,,,,inproceedings,Failed,,
489,Rewards-in-context: multi-objective alignment of foundation models with dynamic preference adjustment,"Yang, Rui and Pan, Xiaoman and Luo, Feng and Qiu, Shuang and Zhong, Han and Yu, Dong and Chen, Jianshu",2024,,,,inproceedings,Failed,,"We consider the problem of multi-objective alignment of foundation models with human preferences, which is a critical step towards helpful and harmless AI systems. However, it is generally costly and unstable to fine-tune large foundation models using reinforcement learning (RL), and the multi-di..."
839,Front Matter,,2024,,,,inproceedings,Failed,,
491,ClassMeta: Designing Interactive Virtual Classmate to Promote VR Classroom Participation,"Liu, Ziyi and Zhu, Zhengzhe and Zhu, Lijun and Jiang, Enze and Hu, Xiyun and Peppler, Kylie A and Ramani, Karthik",2024,https://doi.org/10.1145/3613904.3642947,10.1145/3613904.3642947,,inproceedings,Failed,,"Peer influence plays a crucial role in promoting classroom participation, where behaviors from active students can contribute to a collective classroom learning experience. However, the presence of these active students depends on several conditions and is not consistently available across all ci..."
492,SAM-Assisted Temporal-Location Enhanced Transformer Segmentation for Object Tracking with Online Motion Inference,"Zhang, Huanlong and Yang, Xiangbo and Wang, Xin and Fu, Weiqiang and Zhong, Bineng and Zhang, Jianwei",2025,https://doi.org/10.1016/j.neucom.2024.128914,10.1016/j.neucom.2024.128914,Neurocomput.,article,Failed,,
493,MoConVQ: Unified Physics-Based Motion Control via Scalable Discrete Representations,"Yao, Heyuan and Song, Zhenhua and Zhou, Yuyang and Ao, Tenglong and Chen, Baoquan and Liu, Libin",2024,https://doi.org/10.1145/3658137,10.1145/3658137,ACM Trans. Graph.,article,Failed,,"In this work, we present MoConVQ, a novel unified framework for physics-based motion control leveraging scalable discrete representations. Building upon vector quantized variational autoencoders (VQ-VAE) and model-based reinforcement learning, our approach effectively learns motion embeddings fro..."
494,"Dittos: Personalized, Embodied Agents That Participate in Meetings When You Are Unavailable","Leong, Joanne and Tang, John and Cutrell, Edward and Junuzovic, Sasa and Baribault, Gregory Paul and Inkpen, Kori",2024,https://doi.org/10.1145/3687033,10.1145/3687033,Proc. ACM Hum.-Comput. Interact.,article,Failed,,"Imagine being able to send a personalized embodied agent to meetings you are unable to attend. This paper explores the idea of a Ditto—an agent that visually resembles a person, sounds like them, possesses knowledge about them, and can represent them in meetings. This paper reports on results fro..."
495,ID.8: Co-Creating Visual Stories with Generative AI,"Antony, Victor Nikhil and Huang, Chien-Ming",2024,https://doi.org/10.1145/3672277,10.1145/3672277,ACM Trans. Interact. Intell. Syst.,article,Failed,,"Storytelling is an integral part of human culture and significantly impacts cognitive and socio-emotional development and connection. Despite the importance of interactive visual storytelling, the process of creating such content requires specialized skills and is labor-intensive. This article in..."
496,"Deep learning for cross-domain data fusion in urban computing: Taxonomy, advances, and outlook","Zou, Xingchen and Yan, Yibo and Hao, Xixuan and Hu, Yuehong and Wen, Haomin and Liu, Erdong and Zhang, Junbo and Li, Yong and Li, Tianrui and Zheng, Yu and Liang, Yuxuan",2025,https://doi.org/10.1016/j.inffus.2024.102606,10.1016/j.inffus.2024.102606,Inf. Fusion,article,Failed,,
497,"Toward Programming Languages for Reasoning: Humans, Symbolic Systems, and AI Agents","Marron, Mark",2023,https://doi.org/10.1145/3622758.3622895,10.1145/3622758.3622895,,inproceedings,Failed,,"Integration, composition, mechanization, and AI assisted development are the driving themes in the future of software development. At their core these concepts are rooted in the increasingly important role of computing in our world, the desire to deliver functionality faster, with higher quality,..."
498,Trusting Your AI Agent Emotionally and Cognitively: Development and Validation of a Semantic Differential Scale for AI Trust,"Shang, Ruoxi and Hsieh, Gary and Shah, Chirag",2025,,,,inproceedings,Failed,,"Trust is not just a cognitive issue but also an emotional one, yet the research in human-AI interactions has primarily focused on the cognitive route of trust development. Recent work has highlighted the importance of studying affective trust towards AI, especially in the context of emerging huma..."
499,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions","Huang, Lei and Yu, Weijiang and Ma, Weitao and Zhong, Weihong and Feng, Zhangyin and Wang, Haotian and Chen, Qianglong and Peng, Weihua and Feng, Xiaocheng and Qin, Bing and Liu, Ting",2025,https://doi.org/10.1145/3703155,10.1145/3703155,ACM Trans. Inf. Syst.,article,Failed,,"The emergence of large language models (LLMs) has marked a significant breakthrough in natural language processing (NLP), fueling a paradigm shift in information acquisition. Nevertheless, LLMs are prone to hallucination, generating plausible yet nonfactual content. This phenomenon raises signifi..."
501,Position: social choice should guide AI alignment in dealing with diverse human feedback,"Conitzer, Vincent and Freedman, Rachel and Heitzig, Jobst and Holliday, Wesley H. and Jacobs, Bob M. and Lambert, Nathan and Moss\'{e",2024,,,,inproceedings,Failed,,"Foundation models such as GPT-4 are fine-tuned to avoid unsafe or otherwise problematic behavior, such as helping to commit crimes or producing racist text. One approach to fine-tuning, called reinforcement learning from human feedback, learns from humans' expressed preferences over multiple outp..."
501,Position: social choice should guide AI alignment in dealing with diverse human feedback,"Conitzer, Vincent and Freedman, Rachel and Heitzig, Jobst and Holliday, Wesley H. and Jacobs, Bob M. and Lambert, Nathan and Moss\'{e",2024,,,,inproceedings,Failed,,"Foundation models such as GPT-4 are fine-tuned to avoid unsafe or otherwise problematic behavior, such as helping to commit crimes or producing racist text. One approach to fine-tuning, called reinforcement learning from human feedback, learns from humans' expressed preferences over multiple outp..."
502,Urban Foundation Models: A Survey,"Zhang, Weijia and Han, Jindong and Xu, Zhao and Ni, Hang and Liu, Hao and Xiong, Hui",2024,https://doi.org/10.1145/3637528.3671453,10.1145/3637528.3671453,,inproceedings,Failed,,"Machine learning techniques are now integral to the advancement of intelligent urban services, playing a crucial role in elevating the efficiency, sustainability, and livability of urban environments. The recent emergence of foundation models such as ChatGPT marks a revolutionary shift in the fie..."
503,"NISS '24: Proceedings of the 7th International Conference on Networking, Intelligent Systems and Security",,2024,,,,proceedings,Failed,,
504,ICCMT '24: Proceedings of the 2024 International Conference on Computer and Multimedia Technology,,2024,,,,proceedings,Failed,,
505,Communing with Creative AI,"Twomey, Robert",2023,https://doi.org/10.1145/3597633,10.1145/3597633,Proc. ACM Comput. Graph. Interact. Tech.,article,Failed,,"Drawing on historical and contemporary examples, this paper discusses relationships between humans and machines in creative co-production with generative AI. It distinguishes between generative systems as augmenting tools and autonomous collaborators, and adopts the term communion to describe the..."
506,Towards Lifelong Learning of Large Language Models: A Survey,"Zheng, Junhao and Qiu, Shengjie and Shi, Chengming and Ma, Qianli",2025,https://doi.org/10.1145/3716629,10.1145/3716629,ACM Comput. Surv.,article,Failed,,"As the applications of large language models (LLMs) expand across diverse fields, their ability to adapt to ongoing changes in data, tasks, and user preferences becomes crucial. Traditional training methods with static datasets are inadequate for coping with the dynamic nature of real-world infor..."
507,Can Large Language Models Be Good Companions? An LLM-Based Eyewear System with Conversational Common Ground,"Xu, Zhenyu and Xu, Hailin and Lu, Zhouyang and Zhao, Yingying and Zhu, Rui and Wang, Yujiang and Dong, Mingzhi and Chang, Yuhu and Lv, Qin and Dick, Robert P. and Yang, Fan and Lu, Tun and Gu, Ning and Shang, Li",2024,https://doi.org/10.1145/3659600,10.1145/3659600,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,article,Failed,,"Developing chatbots as personal companions has long been a goal of artificial intelligence researchers. Recent advances in Large Language Models (LLMs) have delivered a practical solution for endowing chatbots with anthropomorphic language capabilities. However, it takes more than LLMs to enable ..."
508,"Large Language Models for Recommendation: Past, Present, and Future","Bao, Keqin and Zhang, Jizhi and Lin, Xinyu and Zhang, Yang and Wang, Wenjie and Feng, Fuli",2024,https://doi.org/10.1145/3626772.3661383,10.1145/3626772.3661383,,inproceedings,Failed,,"Large language models (LLMs) have significantly influenced recommender systems, spurring interest across academia and industry in leveraging LLMs for recommendation tasks. This includes using LLMs for generative item retrieval and ranking, and developing versatile LLMs for various recommendation ..."
509,ICCTA '24: Proceedings of the 2024 10th International Conference on Computer Technology Applications,,2024,,,,proceedings,Failed,,
510,A Review and Comparison of Competency Question Engineering Approaches,"Alharbi, Reham and Tamma, Valentina and Grasso, Floriana and Payne, Terry R.",2024,https://doi.org/10.1007/978-3-031-77792-9_17,10.1007/978-3-031-77792-9_17,,inproceedings,Failed,,"Competency Questions (CQs) are essential in ontology engineering; they express an ontology’s functional requirements through natural language questions, offer crucial insights into an ontology’s scope, and are pivotal for various tasks, such as ontology reuse, testing, requirement specification, ..."
839,Front Matter,,2024,,,,inproceedings,Failed,,
512,Intersection of machine learning and mobile crowdsourcing: a systematic topic-driven review,"Chen, Weisi and Hussain, Walayat and Al-Qudah, Islam and Al-Naymat, Ghazi and Zhang, Xu",2024,https://doi.org/10.1007/s00779-024-01820-w,10.1007/s00779-024-01820-w,Personal Ubiquitous Comput.,article,Failed,,"During the past decade of the big data era, mobile crowdsourcing has emerged as a popular research area, leveraging the collective intelligence and engagement of a vast number of individuals using their mobile devices. Another actively evolving area is machine learning, which has recently been au..."
513,Evolution of Neural Networks,"Miikkulainen, Risto",2024,https://doi.org/10.1145/3638530.3648407,10.1145/3638530.3648407,,inproceedings,Success,papers/Evolution of Neural Networks_2024.pdf,
514,ECDG-DST: A dialogue state tracking model based on efficient context and domain guidance for smart dialogue systems,"Zhu, Meng and Xu, Xiaolong",2025,https://doi.org/10.1016/j.csl.2024.101741,10.1016/j.csl.2024.101741,Comput. Speech Lang.,article,Failed,,
515,A retrospective review and reflection on the alignment of SIMULATION with the evolving professional realm of Modeling and Simulation,"Yilmaz, Levent",2024,https://doi.org/10.1177/00375497241249181,10.1177/00375497241249181,Simulation,article,Failed,,"This paper highlights the renewal and restructuring period for SIMULATION: Transactions of the Society for Modeling and Simulation (SCS) between 2008 and 2016. Following a retrospective review of the author’s formative years, evolving research interests, and continuing academic journey, the ratio..."
516,IVA '24: Proceedings of the 24th ACM International Conference on Intelligent Virtual Agents,,2024,,,,proceedings,Failed,,
517,Feedback loops with language models drive in-context reward hacking,"Pan, Alexander and Jones, Erik and Jagadeesan, Meena and Steinhardt, Jacob",2024,,,,inproceedings,Failed,,"Language models influence the external world: they query APIs that read and write to web pages, generate content that shapes human behavior, and run system commands as autonomous agents. These interactions form feedback loops: LLM outputs affect the world, which in turn affect subsequent LLM outp..."
518,Designing a Large Language Model Based Open Data Assistant for Effective Use,"Schelhorn, Till Carlo and Gnewuch, Ulrich and Maedche, Alexander",2024,https://doi.org/10.1007/978-3-031-61175-9_27,10.1007/978-3-031-61175-9_27,,inproceedings,Failed,,"Open data is widely recognized for its potential positive impact on society and economy. However, many open data sets remain underutilized because users, such as civil servants and citizens, lack the necessary technical and analytical skills. Additionally, existing open data portals often fall sh..."
524,"CECCT '24: Proceedings of the 2024 2nd International Conference on Electronics, Computers and Communication Technology",,2024,,,,proceedings,Failed,,
521,Exploring the Use of Large Language Models for Improving the Awareness of Mindfulness,"Kumar, Harsh and Wang, Yiyi and Shi, Jiakai and Musabirov, Ilya and Farb, Norman A. S. and Williams, Joseph Jay",2023,https://doi.org/10.1145/3544549.3585614,10.1145/3544549.3585614,,inproceedings,Failed,,"Teachable self-help techniques, such as mindfulness, can reduce anxiety and improve mental well-being outcomes. However, people lack proper awareness of such techniques. In this work, we explore the design space of using online dissemination channels to help people learn about mindfulness. We inv..."
521,Exploring the Use of Large Language Models for Improving the Awareness of Mindfulness,"Kumar, Harsh and Wang, Yiyi and Shi, Jiakai and Musabirov, Ilya and Farb, Norman A. S. and Williams, Joseph Jay",2023,https://doi.org/10.1145/3544549.3585614,10.1145/3544549.3585614,,inproceedings,Failed,,"Teachable self-help techniques, such as mindfulness, can reduce anxiety and improve mental well-being outcomes. However, people lack proper awareness of such techniques. In this work, we explore the design space of using online dissemination channels to help people learn about mindfulness. We inv..."
522,Unsupervised Generative Feature Transformation via Graph Contrastive Pre-training and Multi-objective Fine-tuning,"Ying, Wangyang and Wang, Dongjie and Hu, Xuanming and Zhou, Yuanchun and Aggarwal, Charu C. and Fu, Yanjie",2024,https://doi.org/10.1145/3637528.3672015,10.1145/3637528.3672015,,inproceedings,Failed,,"Feature transformation is to derive a new feature set from original features to augment the AI power of data. In many science domains such as material performance screening, while feature transformation can model material formula interactions and compositions and discover performance drivers, sup..."
523,Gauging Tech Community Acceptance of Rapid Prototyping in Unfamiliar Programming Languages using LLM Chatbots,"Chusap, Krerkkiat and Liu, Chang",2024,https://doi.org/10.1145/3643795.3648393,10.1145/3643795.3648393,,inproceedings,Failed,,Large Language Model (LLM) chatbots such as ChatGPT possess information not only about human languages but also computer languages. It is now possible to perform programming and software design tasks with assistance from ChatGPT. We are particularly interested in how the software development comm...
524,"CECCT '24: Proceedings of the 2024 2nd International Conference on Electronics, Computers and Communication Technology",,2024,,,,proceedings,Failed,,
525,AutoWebGLM: A Large Language Model-based Web Navigating Agent,"Lai, Hanyu and Liu, Xiao and Iong, Iat Long and Yao, Shuntian and Chen, Yuxuan and Shen, Pengbo and Yu, Hao and Zhang, Hanchen and Zhang, Xiaohan and Dong, Yuxiao and Tang, Jie",2024,https://doi.org/10.1145/3637528.3671620,10.1145/3637528.3671620,,inproceedings,Failed,,"Large language models (LLMs) have fueled many intelligent web agents, but most existing ones perform far from satisfying in real-world web navigation tasks due to three factors: (1) the complexity of HTML text data (2) versatility of actions on webpages, and (3) task difficulty due to the open-do..."
526,Text2AC: A Framework for Game-Ready 2D Agent Character(AC) Generation from Natural Language,"Sun, Qirui and Luo, Qiaoyang and Ni, Yunyi and Mi, Haipeng",2024,https://doi.org/10.1145/3613905.3651049,10.1145/3613905.3651049,,inproceedings,Failed,,"The visual appearance and personality of game characters are crucial to the player experience. Assembling characters in 2D games is a common practice with a significant demand for creativity, yet the creation process remains challenging, confined to professional graphic designers and animators. T..."
527,"The Promise and Peril of ChatGPT in Higher Education: Opportunities, Challenges, and Design Implications","Park, Hyanghee and Ahn, Daehwan",2024,https://doi.org/10.1145/3613904.3642785,10.1145/3613904.3642785,,inproceedings,Failed,,"A growing number of students in higher education are using ChatGPT for various educational purposes, ranging from seeking information to writing essays. Although many universities have officially banned the use of ChatGPT because of its potential harm and unintended consequences, it is still impo..."
839,Front Matter,,2024,,,,inproceedings,Failed,,
529,Do the rewards justify the means? measuring trade-offs between rewards and ethical behavior in the MACHIAVELLI benchmark,"Pan, Alexander and Chan, Jun Shern and Zou, Andy and Li, Nathaniel and Basart, Steven and Woodside, Thomas and Zhang, Hanlin and Emmons, Scott and Hendrycks, Dan",2023,,,,inproceedings,Failed,,"Artificial agents have traditionally been trained to maximize reward, which may incentivize power-seeking and deception, analogous to how next-token prediction in language models (LMs) may incentivize toxicity. So do agents naturally learn to be Machiavellian? And how do we measure these behavior..."
530,AI-Based Affective Music Generation Systems: A Review of Methods and Challenges,"Dash, Adyasha and Agres, Kathleen",2024,https://doi.org/10.1145/3672554,10.1145/3672554,ACM Comput. Surv.,article,Failed,,"Music is a powerful medium for altering the emotional state of the listener. In recent years, with significant advancements in computing capabilities, artificial intelligence-based (AI-based) approaches have become popular for creating affective music generation (AMG) systems. Entertainment, heal..."
531,Mitigating Gender Stereotypes Toward AI Agents Through an eXplainable AI (XAI) Approach,"Duan, Wen and McNeese, Nathan and Freeman, Guo and Li, Lingyuan",2024,https://doi.org/10.1145/3686969,10.1145/3686969,Proc. ACM Hum.-Comput. Interact.,article,Failed,,"People often apply gender stereotypes toward computerized agents. Rather than challenging these stereotypes, modern AI technologies controversially use them in creating AI agents that underline stereotypical gendered roles. This approach thus further reinforces the often male-dominated societal g..."
532,Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?,"Liu, Suqing and Yu, Zezhu and Huang, Feiran and Bulbulia, Yousef and Bergen, Andreas and Liut, Michael",2024,https://doi.org/10.1145/3649217.3653554,10.1145/3649217.3653554,,inproceedings,Failed,,"Leveraging Large Language Models (LLMs) for personalized learning and support is becoming a promising tool in computing education. AI Assistants can help students with programming, problem-solving, converse with them to clarify course content, explain error messages to help with debugging, and mu..."
839,Front Matter,,2024,,,,inproceedings,Failed,,
534,CODS-COMAD '24: Proceedings of the 7th Joint International Conference on Data Science \& Management of Data (11th ACM IKDD CODS and 29th COMAD),,2024,,,,proceedings,Failed,,
535,LLMs for Explainable Few-shot Deception Detection,"Boumber, Dainis and Tuck, Bryan E. and Verma, Rakesh M. and Qachfar, Fatima Zahra",2024,https://doi.org/10.1145/3643651.3659898,10.1145/3643651.3659898,,inproceedings,Failed,,This study investigates the effectiveness of Large Language Models (LLMs) in detecting deception using a Retrieval Augmented Generation (RAG) framework for few-shot learning in domain-agnostic settings. Our approach combines the sophisticated reasoning capabilities and extensive knowledge base of...
536,Feature Selection as Deep Sequential Generative Learning,"Ying, Wangyang and Wang, Dongjie and Chen, Haifeng and Fu, Yanjie",2024,https://doi.org/10.1145/3687485,10.1145/3687485,ACM Trans. Knowl. Discov. Data,article,Failed,,"Feature selection aims to identify the most pattern-discriminative feature subset. In prior literature, filter (e.g., backward elimination) and embedded (e.g., LASSO) methods have hyperparameters (e.g., top-k, score thresholding) and tie to specific models, thus, hard to generalize; wrapper metho..."
537,HRI '24: Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,,2024,,,,proceedings,Failed,,"Welcome one and all to the 19th Annual ACM/IEEE International Conference on Human-Robot Interaction (HRI)!We are so pleased to re-welcome the HRI community to Boulder, Colorado, where HRI 2021 would have been held, had the COVID pandemic not interfered. Following up on the successful in-person co..."
541,Adversary Tactic Driven Scenario and Terrain Generation with Partial Infrastructure Specification,"Ruman, \'{A",2024,https://doi.org/10.1145/3664476.3664523,10.1145/3664476.3664523,,inproceedings,Failed,,"Diverse, accurate, and up-to-date training environments are essential for training cybersecurity experts and autonomous systems. However, preparation of their content is time-consuming and requires experts to provide detailed specifications. In this paper, we explore the challenges of automated g..."
539,CooKie: commonsense knowledge-guided mixture-of-experts framework for fine-grained visual question answering,"Wang, Chao and Yang, Jianming and Zhou, Yang and Yue, Xiaodong",2025,https://doi.org/10.1016/j.ins.2024.121742,10.1016/j.ins.2024.121742,Inf. Sci.,article,Failed,,
543,AIIIP '24: Proceedings of the 2024 3rd International Conference on Artificial Intelligence and Intelligent Information Processing,,2024,,,,proceedings,Failed,,
541,Adversary Tactic Driven Scenario and Terrain Generation with Partial Infrastructure Specification,"Ruman, \'{A",2024,https://doi.org/10.1145/3664476.3664523,10.1145/3664476.3664523,,inproceedings,Failed,,"Diverse, accurate, and up-to-date training environments are essential for training cybersecurity experts and autonomous systems. However, preparation of their content is time-consuming and requires experts to provide detailed specifications. In this paper, we explore the challenges of automated g..."
542,How secure is AI-generated code: a large-scale comparison of large language models,"Tihanyi, Norbert and Bisztray, Tamas and Ferrag, Mohamed Amine and Jain, Ridhi and Cordeiro, Lucas C.",2024,https://doi.org/10.1007/s10664-024-10590-1,10.1007/s10664-024-10590-1,Empirical Softw. Engg.,article,Failed,,"This study compares state-of-the-art Large Language Models (LLMs) on their tendency to generate vulnerabilities when writing C programs using a neutral zero-shot prompt. Tihanyi et al. introduced the FormAI dataset at PROMISE ’23, featuring 112,000 C programs generated by GPT-3.5-turbo, with over..."
543,AIIIP '24: Proceedings of the 2024 3rd International Conference on Artificial Intelligence and Intelligent Information Processing,,2024,,,,proceedings,Failed,,
839,Front Matter,,2024,,,,inproceedings,Failed,,
